Year,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,Origin,OriginCityName,OriginState,Dest,DestCityName,DestState,DepDelay,DepDelayMinutes,DepDel15,TaxiOut,TaxiIn,ArrDelay,ArrDelayMinutes,ArrDel15,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,MonthName,IsDelayed,DelayCategory,SpeedMph,TotalGround
2024,3,24,7,2024-03-24,B6,SJU,"San Juan, PR",PR,BOS,"Boston, MA",MA,455.0,455.0,1.0,10.0,9.0,438.0,438.0,1.0,0.0,,0.0,266.0,249.0,230.0,1674.0,7,67.0,0.0,0.0,0.0,371.0,January,1,Severe Delay,436.7,19.0
2024,1,19,5,2024-01-19,DL,DTW,"Detroit, MI",MI,MSP,"Minneapolis, MN",MN,69.0,69.0,1.0,13.0,9.0,50.0,50.0,1.0,0.0,,0.0,120.0,101.0,79.0,528.0,3,34.0,0.0,0.0,0.0,16.0,January,1,Moderate Delay,401.01,22.0
2024,2,1,4,2024-02-01,WN,DEN,"Denver, CO",CO,IND,"Indianapolis, IN",IN,-1.0,0.0,0.0,13.0,6.0,-8.0,0.0,0.0,0.0,,0.0,145.0,138.0,119.0,977.0,4,0.0,0.0,0.0,0.0,0.0,January,0,Early/OnTime,492.61,19.0
2024,1,15,1,2024-01-15,AA,PDX,"Portland, OR",OR,CLT,"Charlotte, NC",NC,15.0,15.0,1.0,14.0,5.0,-12.0,0.0,0.0,0.0,,0.0,292.0,265.0,246.0,2282.0,10,0.0,0.0,0.0,0.0,0.0,January,0,Early/OnTime,556.59,19.0
2024,3,8,5,2024-03-08,F9,CLT,"Charlotte, NC",NC,PHL,"Philadelphia, PA",PA,0.0,0.0,0.0,19.0,14.0,-4.0,0.0,0.0,0.0,,0.0,103.0,99.0,66.0,449.0,2,0.0,0.0,0.0,0.0,0.0,January,0,Early/OnTime,408.18,33.0
2024,3,11,1,2024-03-11,UA,PHX,"Phoenix, AZ",AZ,LAX,"Los Angeles, CA",CA,-4.0,0.0,0.0,15.0,5.0,-16.0,0.0,0.0,0.0,,0.0,92.0,80.0,60.0,370.0,2,0.0,0.0,0.0,0.0,0.0,January,0,Early/OnTime,370.0,20.0
2024,3,29,5,2024-03-29,WN,DEN,"Denver, CO",CO,DAL,"Dallas, TX",TX,-5.0,0.0,0.0,26.0,9.0,4.0,4.0,0.0,0.0,,0.0,110.0,119.0,84.0,651.0,3,0.0,0.0,0.0,0.0,0.0,January,0,Minor Delay,465.0,35.0
2024,1,16,2,2024-01-16,OO,SMF,"Sacramento, CA",CA,LAX,"Los Angeles, CA",CA,-5.0,0.0,0.0,20.0,12.0,-8.0,0.0,0.0,0.0,,0.0,98.0,95.0,63.0,373.0,2,0.0,0.0,0.0,0.0,0.0,January,0,Early/OnTime,355.24,32.0
2024,4,9,2,2024-04-09,UA,LAS,"Las Vegas, NV",NV,DEN,"Denver, CO",CO,-11.0,0.0,0.0,18.0,8.0,-15.0,0.0,0.0,0.0,,0.0,119.0,115.0,89.0,628.0,3,0.0,0.0,0.0,0.0,0.0,January,0,Early/OnTime,423.37,26.0
2024,2,28,3,2024-02-28,AA,JAX,"Jacksonville, FL",FL,DFW,"Dallas/Fort Worth, TX",TX,-4.0,0.0,0.0,13.0,10.0,-6.0,0.0,0.0,0.0,,0.0,174.0,172.0,149.0,918.0,4,0.0,0.0,0.0,0.0,0.0,January,0,Early/OnTime,369.66,23.0
2024,1,5,5,2024-01-05,WN,PHX,"Phoenix, AZ",AZ,DEN,"Denver, CO",CO,4.0,4.0,0.0,24.0,7.0,15.0,15.0,1.0,0.0,,0.0,105.0,116.0,85.0,602.0,3,0.0,0.0,15.0,0.0,0.0,January,0,Minor Delay,424.94,31.0
2024,2,18,7,2024-02-18,WN,BWI,"Baltimore, MD",MD,JAX,"Jacksonville, FL",FL,-2.0,0.0,0.0,17.0,5.0,11.0,11.0,0.0,0.0,,0.0,125.0,138.0,116.0,663.0,3,0.0,0.0,0.0,0.0,0.0,January,0,Minor Delay,342.93,22.0
2024,4,21,7,2024-04-21,YX,LGA,"New York, NY",NY,PIT,"Pittsburgh, PA",PA,-4.0,0.0,0.0,15.0,6.0,-27.0,0.0,0.0,0.0,,0.0,103.0,80.0,59.0,335.0,2,0.0,0.0,0.0,0.0,0.0,January,0,Early/OnTime,340.68,21.0
2024,4,19,5,2024-04-19,WN,BNA,"Nashville, TN",TN,SJC,"San Jose, CA",CA,3.0,3.0,0.0,13.0,4.0,10.0,10.0,0.0,0.0,,0.0,285.0,292.0,275.0,1947.0,8,0.0,0.0,0.0,0.0,0.0,January,0,Minor Delay,424.8,17.0
2024,3,29,5,2024-03-29,DL,DSM,"Des Moines, IA",IA,ATL,"Atlanta, GA",GA,19.0,19.0,1.0,14.0,5.0,7.0,7.0,0.0,0.0,,0.0,121.0,109.0,90.0,743.0,3,0.0,0.0,0.0,0.0,0.0,January,0,Minor Delay,495.33,19.0
2024,2,28,3,2024-02-28,WN,IAH,"Houston, TX",TX,DAL,"Dallas, TX",TX,-6.0,0.0,0.0,26.0,5.0,-7.0,0.0,0.0,0.0,,0.0,70.0,69.0,38.0,216.0,1,0.0,0.0,0.0,0.0,0.0,January,0,Early/OnTime,341.05,31.0
2024,4,1,1,2024-04-01,WN,CVG,"Cincinnati, OH",KY,MDW,"Chicago, IL",IL,-4.0,0.0,0.0,12.0,3.0,-13.0,0.0,0.0,0.0,,0.0,70.0,61.0,46.0,249.0,1,0.0,0.0,0.0,0.0,0.0,January,0,Early/OnTime,324.78,15.0
2024,4,14,7,2024-04-14,YX,SDF,"Louisville, KY",KY,DCA,"Washington, DC",VA,0.0,0.0,0.0,15.0,7.0,-6.0,0.0,0.0,0.0,,0.0,98.0,92.0,70.0,474.0,2,0.0,0.0,0.0,0.0,0.0,January,0,Early/OnTime,406.29,22.0
2024,2,5,1,2024-02-05,MQ,MAF,"Midland/Odessa, TX",TX,DFW,"Dallas/Fort Worth, TX",TX,-8.0,0.0,0.0,13.0,8.0,-14.0,0.0,0.0,0.0,,0.0,76.0,70.0,49.0,309.0,2,0.0,0.0,0.0,0.0,0.0,January,0,Early/OnTime,378.37,21.0
2024,1,7,7,2024-01-07,OO,SEA,"Seattle, WA",WA,FCA,"Kalispell, MT",MT,-6.0,0.0,0.0,11.0,5.0,-14.0,0.0,0.0,0.0,,0.0,83.0,75.0,59.0,379.0,2,0.0,0.0,0.0,0.0,0.0,January,0,Early/OnTime,385.42,16.0
2024,2,5,1,2024-02-05,OO,DEN,"Denver, CO",CO,MTJ,"Montrose/Delta, CO",CO,8.0,8.0,0.0,21.0,7.0,-3.0,0.0,0.0,0.0,,0.0,75.0,64.0,36.0,196.0,1,0.0,0.0,0.0,0.0,0.0,January,0,Early/OnTime,326.67,28.0
2024,2,6,2,2024-02-06,UA,IAH,"Houston, TX",TX,SEA,"Seattle, WA",WA,-11.0,0.0,0.0,13.0,6.0,-49.0,0.0,0.0,0.0,,0.0,304.0,266.0,247.0,1874.0,8,0.0,0.0,0.0,0.0,0.0,January,0,Early/OnTime,455.22,19.0
2024,4,4,4,2024-04-04,MQ,DFW,"Dallas/Fort Worth, TX",TX,HRL,"Harlingen/San Benito, TX",TX,-4.0,0.0,0.0,16.0,5.0,-9.0,0.0,0.0,0.0,,0.0,91.0,86.0,65.0,461.0,2,0.0,0.0,0.0,0.0,0.0,January,0,Early/OnTime,425.54,21.0
2024,4,3,3,2024-04-03,OO,ORD,"Chicago, IL",IL,ECP,"Panama City, FL",FL,-6.0,0.0,0.0,62.0,5.0,34.0,34.0,1.0,0.0,,0.0,145.0,185.0,118.0,810.0,4,34.0,0.0,0.0,0.0,0.0,January,1,Moderate Delay,411.86,67.0
2024,2,21,3,2024-02-21,MQ,DCA,"Washington, DC",VA,MSY,"New Orleans, LA",LA,-5.0,0.0,0.0,29.0,2.0,-19.0,0.0,0.0,0.0,,0.0,183.0,169.0,138.0,969.0,4,0.0,0.0,0.0,0.0,0.0,January,0,Early/OnTime,421.3,31.0
